ANIO;REG_NAT;DEMAR_HIDRO;DIR_ZON;DPA_PROVIN;DPA_DESPRO;DPA_CANTON;DPA_DESCAN;CAPH;NAM;ANIO_CREACION;ROR;EDEL;AREA_HA
2023;REGIÓN COSTA O LITORAL;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;7;EL ORO;705;CHILLA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;3832,943138
2023;REGIÓN COSTA O LITORAL;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;7;EL ORO;711;PORTOVELO;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;1720,908842
2023;REGIÓN COSTA O LITORAL;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;7;EL ORO;713;ZARUMA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;3751,02015
2023;REGIÓN COSTA O LITORAL;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;7;EL ORO;713;ZARUMA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;5763,477045
2023;REGIÓN COSTA O LITORAL;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;7;EL ORO;713;ZARUMA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;0,058626164
2023;REGIÓN COSTA O LITORAL;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;7;EL ORO;713;ZARUMA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;3732,471128
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1101;LOJA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;638,3945466
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1101;LOJA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;1303,802732
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1101;LOJA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;1172,50023
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1101;LOJA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;5435,012879
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1101;LOJA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;4428,775803
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1101;LOJA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;214,7335903
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1104;CELICA;APH032;POLO POLO;2023;;CONCLUIDO;2,243581466
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1104;CELICA;APH032;POLO POLO;2023;;CONCLUIDO;2863,576875
