ANIO;REG_NAT;DEMAR_HIDRO;DIR_ZON;DPA_PROVIN;DPA_DESPRO;DPA_CANTON;DPA_DESCAN;CAPH;NAM;ANIO_CREACION;ROR;EDEL;AREA_HA
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;APH005;MOJANDITA CURUBÍ;2020;RESOLUCIÓN APH-DZI-DZE-2020-001 DEL 30/10/2020;CONCLUIDO;10,59187811
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1701;DISTRITO METROPOLITANO DE QUITO;APH001;PONCE PALUGUILLO;2018;PROCESO ADMINISTRATIVO NO. 001-2018-APH. (LV) DEL 22/11/2018;CONCLUIDO;4256,188251
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1702;CAYAMBE;APH002;KAYAMBI;2018;PROCESO ADMINISTRATIVO NO. 002-2018-APH DEL 21/12/2018;CONCLUIDO;2444,53092
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1702;CAYAMBE;APH002;KAYAMBI;2018;PROCESO ADMINISTRATIVO NO. 002-2018-APH DEL 21/12/2018;CONCLUIDO;1208,826556
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1702;CAYAMBE;APH002;KAYAMBI;2018;PROCESO ADMINISTRATIVO NO. 002-2018-APH DEL 21/12/2018;CONCLUIDO;3082,673332
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1702;CAYAMBE;APH002;KAYAMBI;2018;PROCESO ADMINISTRATIVO NO. 002-2018-APH DEL 21/12/2018;CONCLUIDO;3184,529849
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1703;MEJÍA;APH020;ATACAZO;2023;RESOLUCIÓN MAATE-DZ2-APH-2023-001-R DEL 23/02/2023;CONCLUIDO;57,39969552
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1703;MEJÍA;APH020;ATACAZO;2023;RESOLUCIÓN MAATE-DZ2-APH-2023-001-R DEL 23/02/2023;CONCLUIDO;654,3611348
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1703;MEJÍA;APH020;ATACAZO;2023;RESOLUCIÓN MAATE-DZ2-APH-2023-001-R DEL 23/02/2023;CONCLUIDO;241,4310863
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1704;PEDRO MONCAYO;APH009;MOJANDA;2021;RESOLUCIÓN MAATE-DZ2-DAPH-MJD-2021-001-R DEL 23/06/2021;CONCLUIDO;1068,115733
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1704;PEDRO MONCAYO;APH009;MOJANDA;2021;RESOLUCIÓN MAATE-DZ2-DAPH-MJD-2021-001-R DEL 23/06/2021;CONCLUIDO;976,8966495
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;17;PICHINCHA;1704;PEDRO MONCAYO;APH019;OTAVALO-MOJANDA;2022;RESOLUCIÓN NO. MAATE-APH-DZ1-2022-001 DEL 27/12/2022;CONCLUIDO;0,001587143
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1704;PEDRO MONCAYO;APH009;MOJANDA;2021;RESOLUCIÓN MAATE-DZ2-DAPH-MJD-2021-001-R DEL 23/06/2021;CONCLUIDO;1319,017785
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1704;PEDRO MONCAYO;APH009;MOJANDA;2021;RESOLUCIÓN MAATE-DZ2-DAPH-MJD-2021-001-R DEL 23/06/2021;CONCLUIDO;2400,838763
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;17;PICHINCHA;1704;PEDRO MONCAYO;APH019;OTAVALO-MOJANDA;2022;RESOLUCIÓN NO. MAATE-APH-DZ1-2022-001 DEL 27/12/2022;CONCLUIDO;0,000610789
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;17;PICHINCHA;1704;PEDRO MONCAYO;APH009;MOJANDA;2021;RESOLUCIÓN MAATE-DZ2-DAPH-MJD-2021-001-R DEL 23/06/2021;CONCLUIDO;332,16145
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;23;SANTO DOMINGO DE LOS TSÁCHILAS;2301;SANTO DOMINGO;APH015;AQUEPI;2022;RESOLUCIÓN MAATE-DZ2-DAPH-MJD-2022-001-R DEL 25/10/2022;CONCLUIDO;774,0164294
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA ESMERALDAS;DIRECCIÓN ZONAL ESMERALDAS;23;SANTO DOMINGO DE LOS TSÁCHILAS;2301;SANTO DOMINGO;APH015;AQUEPI;2022;RESOLUCIÓN MAATE-DZ2-DAPH-MJD-2022-001-R DEL 25/10/2022;CONCLUIDO;800,8934722
